accession	tree_id	uniprot_id	protein_name	organism	genus	length	reviewed	source_queries	enzyme_class	reference_label	taxonomic_lineage	taxon_domain
A0ABN2YDJ9	tr|A0ABN2YDJ9|A0ABN2YDJ9_9ACTN	A0ABN2YDJ9_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Streptomyces synnematoformans	Streptomyces	306	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus)	Bacteria
A0ABN3C865	tr|A0ABN3C865|A0ABN3C865_9ACTN	A0ABN3C865_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea monospora	Nonomuraea	303	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABN3D0Q6	tr|A0ABN3D0Q6|A0ABN3D0Q6_9ACTN	A0ABN3D0Q6_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea monospora	Nonomuraea	281	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABN3D3P5	tr|A0ABN3D3P5|A0ABN3D3P5_9ACTN	A0ABN3D3P5_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea monospora	Nonomuraea	301	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABN3KHS9	tr|A0ABN3KHS9|A0ABN3KHS9_9ACTN	A0ABN3KHS9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura vinacea	Actinomadura	287	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABN3PU34	tr|A0ABN3PU34|A0ABN3PU34_9ACTN	A0ABN3PU34_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura fulvescens	Actinomadura	278	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABN3PZQ6	tr|A0ABN3PZQ6|A0ABN3PZQ6_9ACTN	A0ABN3PZQ6_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura fulvescens	Actinomadura	287	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABN3Q643	tr|A0ABN3Q643|A0ABN3Q643_9ACTN	A0ABN3Q643_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura fulvescens	Actinomadura	291	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABN3QL32	tr|A0ABN3QL32|A0ABN3QL32_9ACTN	A0ABN3QL32_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura fulvescens	Actinomadura	286	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABN3T5D2	tr|A0ABN3T5D2|A0ABN3T5D2_9ACTN	A0ABN3T5D2_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea recticatena	Nonomuraea	269	unreviewed	ec_petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABN3U267	tr|A0ABN3U267|A0ABN3U267_9ACTN	A0ABN3U267_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinocorallia aurantiaca	Actinocorallia	289	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	Bacteria
A0ABN3UAA8	tr|A0ABN3UAA8|A0ABN3UAA8_9ACTN	A0ABN3UAA8_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinocorallia aurantiaca	Actinocorallia	305	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	Bacteria
A0ABN3VI24	tr|A0ABN3VI24|A0ABN3VI24_9PSEU	A0ABN3VI24_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Saccharopolyspora taberi	Saccharopolyspora	293	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Saccharopolyspora (genus)	Bacteria
A0ABN3W1M5	tr|A0ABN3W1M5|A0ABN3W1M5_9ACTN	A0ABN3W1M5_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Streptosporangium fragile	Streptosporangium	305	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus)	Bacteria
A0ABN6WHT5	tr|A0ABN6WHT5|A0ABN6WHT5_9GAMM	A0ABN6WHT5_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Marinomonas pontica	Marinomonas	338	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Oceanospirillales (order), Oceanospirillaceae (family), Marinomonas (genus)	Bacteria
A0ABP4UM75	tr|A0ABP4UM75|A0ABP4UM75_9ACTN	A0ABP4UM75_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Kribbella yunnanensis	Kribbella	274	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Propionibacteriales (order), Kribbellaceae (family), Kribbella (genus)	Bacteria
A0ABP4V4N0	tr|A0ABP4V4N0|A0ABP4V4N0_9ACTN	A0ABP4V4N0_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Kribbella yunnanensis	Kribbella	277	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Propionibacteriales (order), Kribbellaceae (family), Kribbella (genus)	Bacteria
A0ABP5DB21	tr|A0ABP5DB21|A0ABP5DB21_9PSEU	A0ABP5DB21_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis minnesotensis	Amycolatopsis	292	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Amycolatopsis (genus)	Bacteria
A0ABP5M1Z3	tr|A0ABP5M1Z3|A0ABP5M1Z3_9ACTN	A0ABP5M1Z3_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura napierensis	Actinomadura	305	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABP6BRL7	tr|A0ABP6BRL7|A0ABP6BRL7_9ACTN	A0ABP6BRL7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura fulvescens	Actinomadura	292	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABP6BUZ4	tr|A0ABP6BUZ4|A0ABP6BUZ4_9ACTN	A0ABP6BUZ4_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura fulvescens	Actinomadura	289	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABP6CMB2	tr|A0ABP6CMB2|A0ABP6CMB2_9ACTN	A0ABP6CMB2_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura fulvescens	Actinomadura	294	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABP6CPY2	tr|A0ABP6CPY2|A0ABP6CPY2_9ACTN	A0ABP6CPY2_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura fulvescens	Actinomadura	313	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABP6DBE2	tr|A0ABP6DBE2|A0ABP6DBE2_9ACTN	A0ABP6DBE2_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura fulvescens	Actinomadura	283	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABP6K992	tr|A0ABP6K992|A0ABP6K992_9ACTN	A0ABP6K992_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Streptomyces enissocaesilis	Streptomyces	291	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus), Streptomyces rochei group (no rank)	Bacteria
A0ABP6LA22	tr|A0ABP6LA22|A0ABP6LA22_9ACTN	A0ABP6LA22_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Streptosporangium longisporum	Streptosporangium	314	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus)	Bacteria
A0ABP6MKG0	tr|A0ABP6MKG0|A0ABP6MKG0_9ACTN	A0ABP6MKG0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Planomonospora alba	Planomonospora	299	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Planomonospora (genus)	Bacteria
A0ABP6P8F5	tr|A0ABP6P8F5|A0ABP6P8F5_9ACTN	A0ABP6P8F5_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinocorallia glomerata	Actinocorallia	308	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	Bacteria
A0ABP6PWL3	tr|A0ABP6PWL3|A0ABP6PWL3_9ACTN	A0ABP6PWL3_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinocorallia longicatena	Actinocorallia	286	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	Bacteria
A0ABP6Q129	tr|A0ABP6Q129|A0ABP6Q129_9ACTN	A0ABP6Q129_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinocorallia longicatena	Actinocorallia	288	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	Bacteria
A0ABP6Q7A0	tr|A0ABP6Q7A0|A0ABP6Q7A0_9ACTN	A0ABP6Q7A0_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinocorallia longicatena	Actinocorallia	278	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	Bacteria
A0ABP6Q9G7	tr|A0ABP6Q9G7|A0ABP6Q9G7_9ACTN	A0ABP6Q9G7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinocorallia longicatena	Actinocorallia	280	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	Bacteria
A0ABP6QD18	tr|A0ABP6QD18|A0ABP6QD18_9ACTN	A0ABP6QD18_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinocorallia longicatena	Actinocorallia	292	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	Bacteria
A0ABP6QLT6	tr|A0ABP6QLT6|A0ABP6QLT6_9ACTN	A0ABP6QLT6_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinocorallia longicatena	Actinocorallia	283	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinocorallia (genus)	Bacteria
A0ABP6VHA9	tr|A0ABP6VHA9|A0ABP6VHA9_9ACTN	A0ABP6VHA9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea rosea	Nonomuraea	300	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABP6YQH2	tr|A0ABP6YQH2|A0ABP6YQH2_9ACTN	A0ABP6YQH2_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea rosea	Nonomuraea	275	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABP7G4F1	tr|A0ABP7G4F1|A0ABP7G4F1_9ACTN	A0ABP7G4F1_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Salinactinospora qingdaonensis	Salinactinospora	284	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Salinactinospora (genus)	Bacteria
A0ABP7GG15	tr|A0ABP7GG15|A0ABP7GG15_9ACTN	A0ABP7GG15_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Salinactinospora qingdaonensis	Salinactinospora	316	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Salinactinospora (genus)	Bacteria
A0ABP7GIM2	tr|A0ABP7GIM2|A0ABP7GIM2_9ACTN	A0ABP7GIM2_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Salinactinospora qingdaonensis	Salinactinospora	315	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Salinactinospora (genus)	Bacteria
A0ABP7IBD0	tr|A0ABP7IBD0|A0ABP7IBD0_9ACTN	A0ABP7IBD0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Sphaerisporangium flaviroseum	Sphaerisporangium	310	unreviewed	ec_cutinase,ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Sphaerisporangium (genus)	Bacteria
A0ABP7JH16	tr|A0ABP7JH16|A0ABP7JH16_9PSEU	A0ABP7JH16_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis tucumanensis	Amycolatopsis	307	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Amycolatopsis (genus)	Bacteria
A0ABP7P388	tr|A0ABP7P388|A0ABP7P388_9ACTN	A0ABP7P388_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Gordonia caeni	Gordonia	274	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Gordoniaceae (family), Gordonia (genus)	Bacteria
A0ABP7V404	tr|A0ABP7V404|A0ABP7V404_9ACTN	A0ABP7V404_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura miaoliensis	Actinomadura	340	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABP7VCC9	tr|A0ABP7VCC9|A0ABP7VCC9_9ACTN	A0ABP7VCC9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura miaoliensis	Actinomadura	290	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABP7YWN7	tr|A0ABP7YWN7|A0ABP7YWN7_9ACTN	A0ABP7YWN7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura keratinilytica	Actinomadura	340	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABP8D4A2	tr|A0ABP8D4A2|A0ABP8D4A2_9ACTN	A0ABP8D4A2_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Dactylosporangium darangshiense	Dactylosporangium	334	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micromonosporales (order), Micromonosporaceae (family), Dactylosporangium (genus)	Bacteria
A0ABP9GGR8	tr|A0ABP9GGR8|A0ABP9GGR8_9ACTN	A0ABP9GGR8_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Streptomonospora halophila	Streptomonospora	308	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Streptomonospora (genus)	Bacteria
A0ABP9GSJ2	tr|A0ABP9GSJ2|A0ABP9GSJ2_9ACTN	A0ABP9GSJ2_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptomonospora halophila	Streptomonospora	278	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Streptomonospora (genus)	Bacteria
A0ABP9ZZD8	tr|A0ABP9ZZD8|A0ABP9ZZD8_9GAMM	A0ABP9ZZD8_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Thalassolituus maritimus	Thalassolituus	267	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Oceanospirillales (order), Oceanospirillaceae (family), Thalassolituus (genus)	Bacteria
A0ABQ1P236	tr|A0ABQ1P236|A0ABQ1P236_9GAMM	A0ABQ1P236_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Halopseudomonas salina	Halopseudomonas	291	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudomonadaceae (family), Halopseudomonas (genus)	Bacteria
A0ABQ1V8J4	tr|A0ABQ1V8J4|A0ABQ1V8J4_9NOCA	A0ABQ1V8J4_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Williamsia phyllosphaerae	Williamsia	331	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Nocardiaceae (family), Williamsia (genus)	Bacteria
A0ABQ2CGJ6	tr|A0ABQ2CGJ6|A0ABQ2CGJ6_9GAMM	A0ABQ2CGJ6_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Halopseudomonas pertucinogena	Halopseudomonas	279	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudomonadaceae (family), Halopseudomonas (genus), Halopseudomonas pertucinogena group (no rank)	Bacteria
A0ABQ2CPK6	tr|A0ABQ2CPK6|A0ABQ2CPK6_9GAMM	A0ABQ2CPK6_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Halopseudomonas pertucinogena	Halopseudomonas	286	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudomonadaceae (family), Halopseudomonas (genus), Halopseudomonas pertucinogena group (no rank)	Bacteria
