accession	tree_id	uniprot_id	protein_name	organism	genus	length	reviewed	source_queries	enzyme_class	reference_label
A0A4R4ZDD0	tr|A0A4R4ZDD0|A0A4R4ZDD0_9ACTN	A0A4R4ZDD0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea terrae	Nonomuraea	283	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A4R5ARP1	tr|A0A4R5ARP1|A0A4R5ARP1_9ACTN	A0A4R5ARP1_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura darangshiensis	Actinomadura	303	unreviewed	actinomadura,ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A4R5FXI3	tr|A0A4R5FXI3|A0A4R5FXI3_9ACTN	A0A4R5FXI3_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea mesophila	Nonomuraea	295	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A4R6P139	tr|A0A4R6P139|A0A4R6P139_NOCIG	A0A4R6P139_NOCIG	PET hydrolase/cutinase-like domain-containing protein	Nocardia ignorata	Nocardia	272	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A4R6UW92	tr|A0A4R6UW92|A0A4R6UW92_9ACTN	A0A4R6UW92_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinorugispora endophytica	Actinorugispora	312	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A4R6V0N6	tr|A0A4R6V0N6|A0A4R6V0N6_9ACTN	A0A4R6V0N6_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinorugispora endophytica	Actinorugispora	271	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A4T1ZYH6	tr|A0A4T1ZYH6|A0A4T1ZYH6_9PSED	A0A4T1ZYH6_9PSED	PET hydrolase/cutinase-like domain-containing protein	Pseudomonas leptonychotis	Pseudomonas	286	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A4U0TZC6	tr|A0A4U0TZC6|A0A4U0TZC6_9PEZI	A0A4U0TZC6_9PEZI	Cutinase (EC 3.1.1.74)	Salinomyces thailandicus	Salinomyces	268	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A4U3MI12	tr|A0A4U3MI12|A0A4U3MI12_9ACTN	A0A4U3MI12_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Herbidospora galbida	Herbidospora	284	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A4V0ZKB9	tr|A0A4V0ZKB9|A0A4V0ZKB9_9ACTN	A0A4V0ZKB9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Streptomonospora litoralis	Streptomonospora	315	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A4V2XJ75	tr|A0A4V2XJ75|A0A4V2XJ75_9ACTN	A0A4V2XJ75_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea longispora	Nonomuraea	275	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A4V2YA86	tr|A0A4V2YA86|A0A4V2YA86_9ACTN	A0A4V2YA86_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea deserti	Nonomuraea	275	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A4V2YB24	tr|A0A4V2YB24|A0A4V2YB24_9ACTN	A0A4V2YB24_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea deserti	Nonomuraea	284	unreviewed	ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A4V4HI96	tr|A0A4V4HI96|A0A4V4HI96_DENBC	A0A4V4HI96_DENBC	cutinase (EC 3.1.1.74)	Dendrothele bispora (strain CBS 962.96)	Dendrothele	279	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A4Y3RDQ0	tr|A0A4Y3RDQ0|A0A4Y3RDQ0_9ACTN	A0A4Y3RDQ0_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Streptomyces gardneri	Streptomyces	288	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A4Y8D2X5	tr|A0A4Y8D2X5|A0A4Y8D2X5_9HELO	A0A4Y8D2X5_9HELO	Cutinase (EC 3.1.1.74)	Botryotinia calthae	Botryotinia	256	unreviewed	ec_cutinase	Cutinase	NA
A0A4Z1NMX4	tr|A0A4Z1NMX4|A0A4Z1NMX4_9PEZI	A0A4Z1NMX4_9PEZI	cutinase (EC 3.1.1.74)	Venturia nashicola	Venturia	265	unreviewed	ec_cutinase	Cutinase	NA
A0A4Z1NXB7	tr|A0A4Z1NXB7|A0A4Z1NXB7_9PEZI	A0A4Z1NXB7_9PEZI	Cutinase (EC 3.1.1.74) (Cutin hydrolase)	Venturia nashicola	Venturia	287	unreviewed	ec_cutinase	Cutinase	NA
A0A4Z1P3T0	tr|A0A4Z1P3T0|A0A4Z1P3T0_9PEZI	A0A4Z1P3T0_9PEZI	Cutinase (EC 3.1.1.74)	Venturia nashicola	Venturia	271	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A4Z1PCH0	tr|A0A4Z1PCH0|A0A4Z1PCH0_9PEZI	A0A4Z1PCH0_9PEZI	Cutinase (EC 3.1.1.74)	Venturia nashicola	Venturia	296	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A4Z1PSH0	tr|A0A4Z1PSH0|A0A4Z1PSH0_9PEZI	A0A4Z1PSH0_9PEZI	Cutinase (EC 3.1.1.74)	Venturia nashicola	Venturia	309	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A507BPN0	tr|A0A507BPN0|A0A507BPN0_9PEZI	A0A507BPN0_9PEZI	Cutinase (EC 3.1.1.74)	Thyridium curvatum	Thyridium	286	unreviewed	ec_cutinase	Cutinase	NA
A0A507DNB9	tr|A0A507DNB9|A0A507DNB9_9FUNG	A0A507DNB9_9FUNG	Cutinase (EC 3.1.1.74)	Synchytrium endobioticum	Synchytrium	266	unreviewed	ec_cutinase	Cutinase	NA
A0A512C2P5	tr|A0A512C2P5|A0A512C2P5_9HYPH	A0A512C2P5_9HYPH	PET hydrolase/cutinase-like domain-containing protein	Microvirga aerophila	Microvirga	350	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A517LAE3	tr|A0A517LAE3|A0A517LAE3_9PEZI	A0A517LAE3_9PEZI	cutinase (EC 3.1.1.74)	Venturia effusa	Venturia	312	unreviewed	ec_cutinase	Cutinase	NA
A0A517LCX5	tr|A0A517LCX5|A0A517LCX5_9PEZI	A0A517LCX5_9PEZI	Cutinase (EC 3.1.1.74)	Venturia effusa	Venturia	345	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A517LL11	tr|A0A517LL11|A0A517LL11_9PEZI	A0A517LL11_9PEZI	cutinase (EC 3.1.1.74)	Venturia effusa	Venturia	262	unreviewed	ec_cutinase	Cutinase	NA
A0A517LPD0	tr|A0A517LPD0|A0A517LPD0_9PEZI	A0A517LPD0_9PEZI	cutinase (EC 3.1.1.74)	Venturia effusa	Venturia	283	unreviewed	ec_cutinase	Cutinase	NA
A0A517LPK3	tr|A0A517LPK3|A0A517LPK3_9PEZI	A0A517LPK3_9PEZI	cutinase (EC 3.1.1.74)	Venturia effusa	Venturia	310	unreviewed	cutinase	Cutinase	NA
A0A517LQM4	tr|A0A517LQM4|A0A517LQM4_9PEZI	A0A517LQM4_9PEZI	cutinase (EC 3.1.1.74)	Venturia effusa	Venturia	266	unreviewed	ec_cutinase	Cutinase	NA
A0A542DLD4	tr|A0A542DLD4|A0A542DLD4_AMYCI	A0A542DLD4_AMYCI	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis cihanbeyliensis	Amycolatopsis	280	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A543FN38	tr|A0A543FN38|A0A543FN38_9PSEU	A0A543FN38_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Pseudonocardia cypriaca	Pseudonocardia	294	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A543IKT7	tr|A0A543IKT7|A0A543IKT7_9ACTN	A0A543IKT7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura hallensis	Actinomadura	290	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A543NNU7	tr|A0A543NNU7|A0A543NNU7_9ACTN	A0A543NNU7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Haloactinospora alba	Haloactinospora	299	unreviewed	ec_cutinase,ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A545VVG4	tr|A0A545VVG4|A0A545VVG4_9HYPO	A0A545VVG4_9HYPO	cutinase (EC 3.1.1.74)	Cordyceps javanica	Cordyceps	288	unreviewed	ec_cutinase	Cutinase	NA
A0A556QNH3	tr|A0A556QNH3|A0A556QNH3_9BACT	A0A556QNH3_9BACT	PET hydrolase/cutinase-like domain-containing protein	Rariglobus hedericola	Rariglobus	318	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A559MA35	tr|A0A559MA35|A0A559MA35_9HELO	A0A559MA35_9HELO	Cutinase (EC 3.1.1.74)	Lachnellula willkommii	Lachnellula	260	unreviewed	ec_cutinase	Cutinase	NA
A0A5C4J1R7	tr|A0A5C4J1R7|A0A5C4J1R7_9ACTN	A0A5C4J1R7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura soli	Actinomadura	310	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A5C4VLV1	tr|A0A5C4VLV1|A0A5C4VLV1_9ACTN	A0A5C4VLV1_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea phyllanthi	Nonomuraea	310	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A5C4WSK7	tr|A0A5C4WSK7|A0A5C4WSK7_9ACTN	A0A5C4WSK7_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea phyllanthi	Nonomuraea	296	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A5C8ZP14	tr|A0A5C8ZP14|A0A5C8ZP14_9GAMM	A0A5C8ZP14_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Parahaliea maris	Parahaliea	320	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A5M3MAM5	tr|A0A5M3MAM5|A0A5M3MAM5_CONPW	A0A5M3MAM5_CONPW	cutinase (EC 3.1.1.74)	Coniophora puteana (strain RWD-64-598) (Brown rot fungus)	Coniophora	285	unreviewed	ec_cutinase	Cutinase	NA
A0A5M3W626	tr|A0A5M3W626|A0A5M3W626_9ACTN	A0A5M3W626_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Acrocarpospora corrugata	Acrocarpospora	292	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A5M9J9Y2	tr|A0A5M9J9Y2|A0A5M9J9Y2_MONFR	A0A5M9J9Y2_MONFR	cutinase (EC 3.1.1.74)	Monilinia fructicola (Brown rot fungus) (Ciboria fructicola)	Monilinia	257	unreviewed	ec_cutinase	Cutinase	NA
A0A5N6B6N8	tr|A0A5N6B6N8|A0A5N6B6N8_9ACTN	A0A5N6B6N8_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Microbispora catharanthi	Microbispora	306	unreviewed	ec_petase,microbispora,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A5Q0HE30	tr|A0A5Q0HE30|A0A5Q0HE30_SACSY	A0A5Q0HE30_SACSY	Alpha/beta hydrolase	Saccharothrix syringae (Nocardiopsis syringae)	Saccharothrix	273	unreviewed	nocardiopsis	Other	NA
A0A5Q6S2Z8	tr|A0A5Q6S2Z8|A0A5Q6S2Z8_9ACTN	A0A5Q6S2Z8_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Mumia zhuanghuii	Mumia	310	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A5S4FJI0	tr|A0A5S4FJI0|A0A5S4FJI0_9ACTN	A0A5S4FJI0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea zeae	Nonomuraea	313	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A5S4G823	tr|A0A5S4G823|A0A5S4G823_9ACTN	A0A5S4G823_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea zeae	Nonomuraea	275	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A5S4GNH7	tr|A0A5S4GNH7|A0A5S4GNH7_9ACTN	A0A5S4GNH7_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea zeae	Nonomuraea	302	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A5S4GQ57	tr|A0A5S4GQ57|A0A5S4GQ57_9ACTN	A0A5S4GQ57_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea zeae	Nonomuraea	281	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A5S4H3R9	tr|A0A5S4H3R9|A0A5S4H3R9_9ACTN	A0A5S4H3R9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura geliboluensis	Actinomadura	335	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A6A6HD05	tr|A0A6A6HD05|A0A6A6HD05_VIRVR	A0A6A6HD05_VIRVR	cutinase (EC 3.1.1.74)	Viridothelium virens (Speckled blister lichen) (Trypethelium virens)	Viridothelium	263	unreviewed	cutinase	Cutinase	NA
A0A6A6HEB6	tr|A0A6A6HEB6|A0A6A6HEB6_VIRVR	A0A6A6HEB6_VIRVR	cutinase (EC 3.1.1.74)	Viridothelium virens (Speckled blister lichen) (Trypethelium virens)	Viridothelium	284	unreviewed	cutinase	Cutinase	NA
A0A6A6HWJ1	tr|A0A6A6HWJ1|A0A6A6HWJ1_9PLEO	A0A6A6HWJ1_9PLEO	Cutinase (EC 3.1.1.74)	Trematosphaeria pertusa	Trematosphaeria	286	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A6A6ZPM7	tr|A0A6A6ZPM7|A0A6A6ZPM7_9PLEO	A0A6A6ZPM7_9PLEO	PET hydrolase/cutinase-like domain-containing protein	Ophiobolus disseminans	Ophiobolus	270	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A6C2YTQ5	tr|A0A6C2YTQ5|A0A6C2YTQ5_9BACT	A0A6C2YTQ5_9BACT	PET hydrolase/cutinase-like domain-containing protein	Tuwongella immobilis	Tuwongella	326	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A6G1FWJ7	tr|A0A6G1FWJ7|A0A6G1FWJ7_9PEZI	A0A6G1FWJ7_9PEZI	Cutinase (EC 3.1.1.74)	Eremomyces bilateralis CBS 781.70	Eremomyces	301	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A6G1G4Q1	tr|A0A6G1G4Q1|A0A6G1G4Q1_9PEZI	A0A6G1G4Q1_9PEZI	Cutinase (EC 3.1.1.74)	Eremomyces bilateralis CBS 781.70	Eremomyces	284	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A6G1G4Z9	tr|A0A6G1G4Z9|A0A6G1G4Z9_9PEZI	A0A6G1G4Z9_9PEZI	PET hydrolase/cutinase-like domain-containing protein	Eremomyces bilateralis CBS 781.70	Eremomyces	333	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A6G1G7Q5	tr|A0A6G1G7Q5|A0A6G1G7Q5_9PEZI	A0A6G1G7Q5_9PEZI	cutinase (EC 3.1.1.74)	Eremomyces bilateralis CBS 781.70	Eremomyces	258	unreviewed	cutinase	Cutinase	NA
A0A6G1GIT3	tr|A0A6G1GIT3|A0A6G1GIT3_9PEZI	A0A6G1GIT3_9PEZI	Cutinase (EC 3.1.1.74)	Aulographum hederae CBS 113979	Aulographum	282	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A6G1GLJ4	tr|A0A6G1GLJ4|A0A6G1GLJ4_9PEZI	A0A6G1GLJ4_9PEZI	Cutinase (EC 3.1.1.74)	Aulographum hederae CBS 113979	Aulographum	286	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A6G1HNA7	tr|A0A6G1HNA7|A0A6G1HNA7_9PEZI	A0A6G1HNA7_9PEZI	Cutinase (EC 3.1.1.74)	Trichodelitschia bisporula	Trichodelitschia	282	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A6G1HPA6	tr|A0A6G1HPA6|A0A6G1HPA6_9PEZI	A0A6G1HPA6_9PEZI	Cutinase (EC 3.1.1.74)	Trichodelitschia bisporula	Trichodelitschia	298	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A6G1HPJ6	tr|A0A6G1HPJ6|A0A6G1HPJ6_9PEZI	A0A6G1HPJ6_9PEZI	Cutinase (EC 3.1.1.74)	Trichodelitschia bisporula	Trichodelitschia	330	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A6G1HPP8	tr|A0A6G1HPP8|A0A6G1HPP8_9PEZI	A0A6G1HPP8_9PEZI	cutinase (EC 3.1.1.74)	Trichodelitschia bisporula	Trichodelitschia	294	unreviewed	cutinase	Cutinase	NA
A0A6G1HY92	tr|A0A6G1HY92|A0A6G1HY92_9PEZI	A0A6G1HY92_9PEZI	Cutinase (EC 3.1.1.74)	Trichodelitschia bisporula	Trichodelitschia	275	unreviewed	cutinase,ec_cutinase	Cutinase	NA
A0A6G7YM33	tr|A0A6G7YM33|A0A6G7YM33_9SPHN	A0A6G7YM33_9SPHN	PET hydrolase/cutinase-like domain-containing protein	Sphingomonas piscis	Sphingomonas	306	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A6G9YMI2	tr|A0A6G9YMI2|A0A6G9YMI2_9NOCA	A0A6G9YMI2_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia arthritidis	Nocardia	325	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A6H0XY78	tr|A0A6H0XY78|A0A6H0XY78_9PEZI	A0A6H0XY78_9PEZI	cutinase (EC 3.1.1.74)	Peltaster fructicola	Peltaster	299	unreviewed	cutinase	Cutinase	NA
A0A6H9YZG5	tr|A0A6H9YZG5|A0A6H9YZG5_9ACTN	A0A6H9YZG5_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura rudentiformis	Actinomadura	268	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A6I4KZF1	tr|A0A6I4KZF1|A0A6I4KZF1_9PSED	A0A6I4KZF1_9PSED	PET hydrolase/cutinase-like domain-containing protein	Pseudomonas xionganensis	Pseudomonas	286	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A6I4MG66	tr|A0A6I4MG66|A0A6I4MG66_9ACTN	A0A6I4MG66_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura physcomitrii	Actinomadura	310	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A6I4VZW1	tr|A0A6I4VZW1|A0A6I4VZW1_9ACTN	A0A6I4VZW1_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura rayongensis	Actinomadura	290	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A6I4W489	tr|A0A6I4W489|A0A6I4W489_9ACTN	A0A6I4W489_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura rayongensis	Actinomadura	285	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A6I4W9J4	tr|A0A6I4W9J4|A0A6I4W9J4_9ACTN	A0A6I4W9J4_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura rayongensis	Actinomadura	295	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A6I4WCS2	tr|A0A6I4WCS2|A0A6I4WCS2_9ACTN	A0A6I4WCS2_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura rayongensis	Actinomadura	281	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A6I4WH26	tr|A0A6I4WH26|A0A6I4WH26_9ACTN	A0A6I4WH26_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura rayongensis	Actinomadura	299	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A6I6FHT8	tr|A0A6I6FHT8|A0A6I6FHT8_9ACTN	A0A6I6FHT8_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Streptomyces ficellus	Streptomyces	303	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A6L3W3E9	tr|A0A6L3W3E9|A0A6L3W3E9_9ACTN	A0A6L3W3E9_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura montaniterrae	Actinomadura	308	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A6L6JDB4	tr|A0A6L6JDB4|A0A6L6JDB4_9RHOB	A0A6L6JDB4_9RHOB	PET hydrolase/cutinase-like domain-containing protein	Paracoccus aestuariivivens	Paracoccus	306	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A6P1THF7	tr|A0A6P1THF7|A0A6P1THF7_9GAMM	A0A6P1THF7_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Microbulbifer hydrolyticus	Microbulbifer	298	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A6P2BTG6	tr|A0A6P2BTG6|A0A6P2BTG6_9ACTN	A0A6P2BTG6_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Trebonia kvetii	Trebonia	315	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A7C9NKH2	tr|A0A7C9NKH2|A0A7C9NKH2_9ACTN	A0A7C9NKH2_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Herbidospora solisilvae	Herbidospora	284	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A7D3VX47	tr|A0A7D3VX47|A0A7D3VX47_ACTVE	A0A7D3VX47_ACTVE	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura verrucosospora	Actinomadura	303	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A7D3W2P3	tr|A0A7D3W2P3|A0A7D3W2P3_ACTVE	A0A7D3W2P3_ACTVE	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura verrucosospora	Actinomadura	287	unreviewed	actinomadura,ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A7D6ZFX0	tr|A0A7D6ZFX0|A0A7D6ZFX0_9NOCA	A0A7D6ZFX0_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia huaxiensis	Nocardia	329	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A7D6ZIT8	tr|A0A7D6ZIT8|A0A7D6ZIT8_9NOCA	A0A7D6ZIT8_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia huaxiensis	Nocardia	296	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A7G1KJX1	tr|A0A7G1KJX1|A0A7G1KJX1_9NOCA	A0A7G1KJX1_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia wallacei	Nocardia	321	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A7H0LJJ6	tr|A0A7H0LJJ6|A0A7H0LJJ6_9SPHN	A0A7H0LJJ6_9SPHN	PET hydrolase/cutinase-like domain-containing protein	Sphingomonas alpina	Sphingomonas	321	unreviewed	pet_hydrolase	PET_hydrolase	NA
A0A7K0BNG8	tr|A0A7K0BNG8|A0A7K0BNG8_9ACTN	A0A7K0BNG8_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura macrotermitis	Actinomadura	300	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A7K0BW34	tr|A0A7K0BW34|A0A7K0BW34_9ACTN	A0A7K0BW34_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura macrotermitis	Actinomadura	290	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A7K0BW49	tr|A0A7K0BW49|A0A7K0BW49_9ACTN	A0A7K0BW49_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura macrotermitis	Actinomadura	290	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A7K0BXG1	tr|A0A7K0BXG1|A0A7K0BXG1_9ACTN	A0A7K0BXG1_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura macrotermitis	Actinomadura	288	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
A0A7K0BY86	tr|A0A7K0BY86|A0A7K0BY86_9ACTN	A0A7K0BY86_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura macrotermitis	Actinomadura	284	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA
